Field1,DEM,ppt_inches,tmax_c,tmean_c,tmin_c,soil
3446,220.34,794.41,10.4983,4.77417,-0.95,"Amnicon-Miskoaki complex, 2 to 6 percent slopes"
3447,188.24,770.24,9.7875,4.7575,-0.2725,"Moquah fine sandy loam, 0 to 3 percent slopes, frequently flooded"
3448,194.055,757.74,9.6683,4.77042,-0.1275,"Udorthents and Udipsamments, cut or fill"
3449,377.598,799.91,8.93,4.03042,-0.86917,"Urban land-Mesaba-Rock outcrop complex, 1 to 18 percent slopes"
3450,438.451,793.35,9.02,3.95,-1.12,"Hermantown-Canosia-Giese, depressional, complex, 0 to 3 percent slopes"
3451,416.533,761.3,9.4133,3.85167,-1.71,"Rifle soils, dense substratum, 0 to 1 percent slopes"
3452,426.603,751.66,9.6242,3.80292,-2.01833,"Aldenlake-Pequaywan complex, pitted, 0 to 8 percent slopes"
3453,426.884,745.03,9.615,3.65125,-2.3125,"Aldenlake sandy loam, 8 to 18 percent slopes"
3454,477.143,725.6,9.3533,3.19125,-2.97083,Water
3455,439.677,710.73,9.6658,3.39167,-2.8825,"Toimi stony loam, 8 to 18 percent slopes, very stony"
3456,446.658,701.13,9.6858,3.31583,-3.05417,"Duluth-Culver-Cathro, depressional, complex, 0 to 18 percent slopes"
3457,433.141,705.38,9.7283,3.29,-3.14833,"Hibbing-Buhl complex, 1 to 8 percent slopes"
3458,426.481,710.97,9.6942,3.225,-3.24417,"Rifle soils, hibbing catena, 0 to 1 percent slopes"
3459,435.842,712.3,9.655,3.17875,-3.2975,"McQuade-Buhl complex, 0 to 3 percent slopes"
3460,504.298,721.16,9.4825,3.44917,-2.58417,"Dumps, iron mine"
3461,452.843,720.09,9.4667,2.92792,-3.61083,"Eaglesnest-Babbitt complex, 1 to 8 percent slopes, bouldery"
3462,442.219,712.02,9.4858,2.94375,-3.59833,"Mooselake muck, 0 to 1 percent slopes"
3463,445.608,706.68,9.6008,3.06542,-3.47,"Eveleth-Eaglesnest-Conic complex, 6 to 18 percent slopes, bouldery"
3464,414.148,708.28,9.6333,3.17375,-3.28583,Water
3465,425.16,706.72,9.5867,3.16458,-3.2575,No Digital Data Available
3466,433.07,702.85,9.5675,3.16875,-3.23,No Digital Data Available
3467,419.552,698.58,9.5517,3.19042,-3.17083,No Digital Data Available
3468,433.186,690.16,9.5733,3.2375,-3.09833,No Digital Data Available
3469,341.73,681.57,9.6433,3.32708,-2.98917,No Digital Data Available
3470,347.29,NA,NA,NA,NA,NA
3471,340.994,NA,NA,NA,NA,"Mt. Carroll silt loam, 3 to 6 percent slopes"
3472,338.086,893.52,12.6508,7.32083,1.99083,"Newhouse-Valton silt loams, 12 to 20 percent slopes"
3473,358.614,898.87,12.6175,7.3825,2.1475,"Seaton silt loam, 6 to 12 percent slopes, eroded"
3474,240.999,868.28,13.3858,7.9575,2.52917,"Seaton silt loam, valleys, 12 to 20 percent slopes, eroded"
3475,367.879,866.02,13.245,7.78333,2.32167,"Lamoille-Elbaville silt loams, 20 to 30 percent slopes"
3476,409.022,891.22,12.4008,7.25708,2.11333,"Seaton silt loam, 3 to 6 percent slopes"
3477,369.965,902.4,12.37,7.27083,2.17167,"Lamoille-Elbaville silt loams, 20 to 30 percent slopes"
3478,321.248,886.54,12.65,7.47375,2.2975,"Lacrescent silt loam, rocky, 45 to 70 percent slopes"
3479,365.905,870.21,12.8908,7.64542,2.4,"Seaton silt loam, 6 to 12 percent slopes, moderately eroded"
3480,227.028,865,13.5733,7.78167,1.99,"Plumcreek silt loam, 20 to 45 percent slopes"
3481,357.862,872.68,13.0892,7.05542,1.02167,"Pepin silt loam, 12 to 20 percent slopes, moderately eroded"
3482,371.551,873,13.1825,7.21958,1.25667,"NewGlarus silt loam, 12 to 20 percent slopes, moderately eroded"
3483,246.654,870.32,13.0383,7.275,1.51167,"Ettrick silt loam, 0 to 2 percent slopes, frequently flooded"
3484,292.055,869.02,13.3442,7.41958,1.495,"Norden silt loam, 12 to 20 percent slopes, moderately eroded"
3485,388.411,870.16,13.1817,7.18042,1.17917,"Pits, quarry, hard bedrock"
3486,256.183,869.01,13.3383,7.39625,1.45417,"Ettrick silt loam, 0 to 2 percent slopes, frequently flooded"
3487,284.401,856.16,12.9708,7.1025,1.23417,"Boone sand, 6 to 15 percent slopes"
3488,263.071,834.42,13.1617,7.44542,1.72917,"Prissel loamy sand, 2 to 6 percent slopes"
3489,258.705,829.58,12.9225,7.2375,1.5525,"Finchford loamy sand, 2 to 6 percent slopes"
3490,279.294,830.16,12.6775,6.96083,1.24417,"Kevilar sandy loam, 2 to 6 percent slopes"
3491,317.035,836.84,12.475,6.72917,0.98333,"Boone sand, 6 to 15 percent slopes"
3492,315.523,834.18,12.6292,6.865,1.10083,"Hixton silt loam, thin solum, 1 to 6 percent slopes, moderately eroded"
3493,312.892,829.16,12.155,6.37667,0.59833,"Dobie and Hixton silt loams, 12 to 20 percent slopes, moderately eroded"
3494,360.133,827.55,12.1683,6.37875,0.58917,"Hayriver-Twinmound complex, 15 to 50 percent slopes"
3495,376.978,829.64,12.0467,6.24583,0.445,"Hayriver-Twinmound complex, 20 to 50 percent slopes"
3496,367.918,821.51,11.8583,6.03417,0.21,"Freeon silt loam, 2 to 6 percent slopes"
3497,329.54,796.03,12.075,6.25208,0.42917,"Chetek sandy loam, 2 to 6 percent slopes"
3498,336.661,795.5,11.9442,6.11,0.27583,"Seelyeville and Cathro mucks, 0 to 1 percent slopes"
3499,382.995,808.93,11.9092,6.01042,0.11167,"Freeon silt loam, 2 to 6 percent slopes"
3500,372.082,818.94,11.855,5.86208,-0.13083,"Chetek sandy loam, 6 to 12 percent slopes, eroded"
3501,397.858,816.18,11.7892,5.73708,-0.315,"Amery-Rosholt complex, 20 to 45 percent slopes, very stony"
3502,398.891,801.08,11.805,5.73708,-0.33083,"Haugen, very stony-Greenwood complex, 0 to 15 percent slopes"
3503,345.842,788.94,11.9708,5.8775,-0.21583,"Antigo silt loam, 1 to 6 percent slopes"
3504,327.541,786.74,11.9975,5.83542,-0.32667,"Loxley mucky peat, 0 to 1 percent slopes"
3505,320.663,788.24,11.8658,5.70583,-0.45417,"Graycalm-Menahga complex, 0 to 6 percent slopes"
3506,321.138,781.18,11.77,5.58917,-0.59167,"Graycalm-Menahga complex, 6 to 12 percent slopes"
3507,319.484,775.63,11.6683,5.40208,-0.86417,"Grayling sand, 6 to 12 percent slopes"
3508,307.733,786.49,11.5867,5.23667,-1.11333,"Grayling sand, 6 to 12 percent slopes"
3509,332.147,791.49,11.5133,5.06458,-1.38417,"Menahga sand, 6 to 12 percent slopes"
3510,336.915,789.97,11.485,5.0625,-1.36,"Keweenaw-Sayner-Vilas complex, 6 to 15 percent slopes, stony"
3511,364.654,788.45,11.0517,4.77167,-1.50833,"Newood-Pesabic-Capitola complex, 0 to 15 percent slopes, very stony"
3512,365.67,797.22,10.605,4.53292,-1.53917,"Au Gres loamy sand, 0 to 3 percent slopes"
3513,337.943,801.81,10.4917,4.53417,-1.42333,"Capitola muck, 0 to 2 percent slopes, very stony"
3514,264.44,794.08,10.42,4.72208,-0.97583,"Amnicon-Rock outcrop complex, 2 to 15 percent slopes"
3515,202.258,773.8,9.65,4.79333,-0.06333,"Amnicon-Cuttre complex, 0 to 4 percent slopes"
3516,183.487,NA,NA,NA,NA,NA
3517,183.493,NA,NA,NA,NA,NA
3518,356.27,783.44,8.9692,3.94708,-1.075,"Hegberg-Eldes complex, 0 to 3 percent slopes"
3519,416.324,776.94,9.3683,3.9525,-1.46333,"Ahmeek-Normanna-Canosia complex, 0 to 18 percent slopes"
3520,426.875,762.22,9.39,3.79542,-1.79917,"Rollins-Pequaywan complex, pitted, 0 to 18 percent slopes"
3521,431.853,741.64,9.5983,3.5875,-2.42333,"Greenwood soils, 0 to 1 percent slopes"
3522,477.964,733.03,9.435,3.22,-2.995,"Tacoosh mucky peat, dense substratum, 0 to 1 percent slopes"
3523,486.387,713.03,9.4542,3.0875,-3.27917,"Aldenlake-Pequaywan complex, pitted, 0 to 8 percent slopes"
3524,469.771,708.18,9.4825,3.02583,-3.43083,No Digital Data Available
3525,470.433,709.98,9.5208,3.04042,-3.44,No Digital Data Available
3526,455.615,717.11,9.5383,3.06667,-3.405,No Digital Data Available
3527,457.53,720.37,9.5617,3.06833,-3.425,No Digital Data Available
3528,470.42,726.02,9.4592,3.10917,-3.24083,"Udorthents, loamy (cut and fill land)"
3529,440.03,725.72,9.4092,2.94083,-3.5275,"Greenwood soils, 0 to 1 percent slopes"
3530,446.76,720.8,9.5108,2.95708,-3.59667,"Sago muck, depressional, 0 to 1 percent slopes"
3531,454.698,718.82,9.56,3.04167,-3.47667,"Beargrease-Biwabik-Rollins complex, 8 to 35 percent slopes, very stony"
3532,417.34,713.13,9.6292,3.16583,-3.2975,"Eveleth, bouldery-Conic, bouldery-Aquepts, rubbly, complex, 0 to 30 percent slopes"
3533,445.791,711.91,9.5508,3.1175,-3.31583,No Digital Data Available
3534,429.248,710.4,9.5583,3.14333,-3.27167,No Digital Data Available
3535,453.707,704.3,9.5792,3.21958,-3.14,No Digital Data Available
3536,425.399,695.45,9.57,3.31208,-2.94583,No Digital Data Available
3537,392.671,689.54,9.6325,3.39792,-2.83667,No Digital Data Available
3538,383.342,688.54,9.6583,3.29542,-3.0675,No Digital Data Available
3539,346.29,NA,NA,NA,NA,NA
3540,307.769,884.2,13.1958,7.94833,2.70083,"Lamoille-Elbaville silt loams, 20 to 30 percent slopes"
3541,340.21,888.8,12.7833,7.54333,2.30333,"Blackhammer-Southridge silt loams, 12 to 20 percent slopes, eroded"
3542,366.763,902.36,12.5125,7.29708,2.08167,"Seaton silt loam, 3 to 6 percent slopes"
3543,235.153,869.14,13.1683,7.80083,2.43333,"Chaseburg silt loam, channeled, 2 to 6 percent slopes"
3544,369.029,869.3,13.1083,7.85417,2.6,"Seaton silt loam, 3 to 6 percent slopes"
3545,257.803,891.13,12.655,7.53208,2.40917,"Fluvaquents, channeled"
3546,314.851,881.73,12.7367,7.52917,2.32167,"Lacrescent silt loam, rocky, 45 to 70 percent slopes"
3547,196.667,857.45,13.72,8.26667,2.81333,Water
3548,257.195,863.94,13.3692,7.87958,2.39,"Seaton silt loam, 12 to 20 percent slopes, moderately eroded"
3549,379.201,875.51,12.7608,7.30625,1.85167,"Seaton silt loam, 12 to 20 percent slopes, moderately eroded"
3550,223.253,862.87,13.6542,7.89792,2.14167,"Bilson fine sandy loam, 2 to 6 percent slopes"
3551,331.832,865.59,13.2917,7.565,1.83833,"Dorerton, very stony-Elbaville complex, 30 to 60 percent slopes"
3552,283.27,869.86,12.6908,6.8725,1.05417,"Lindstrom silt loam, 6 to 12 percent slopes, moderately eroded"
3553,299.044,867.17,12.7708,6.90292,1.035,"Elevasil sandy loam, 12 to 20 percent slopes, moderately eroded"
3554,311.124,867.95,13.1725,7.22667,1.28083,"Norden silt loam, 20 to 30 percent slopes, moderately eroded"
3555,313.95,865.61,13.185,7.24917,1.31333,"Seaton silt loam, 12 to 20 percent slopes, eroded"
3556,312.321,850.12,12.6575,6.81625,0.975,"Plainfield loamy sand, 6 to 12 percent slopes, eroded"
3557,264.095,823.59,13.0708,7.33792,1.605,"Terrace escarpments, sandy"
3558,269.78,823.98,12.8208,7.11583,1.41083,Morocco loamy sand
3559,281.225,824.44,12.7117,6.98042,1.24917,"Menahga loamy sand, 0 to 6 percent slopes"
3560,297.663,825.75,12.3675,6.58417,0.80083,"Orion silt loam, 0 to 2 percent slopes"
3561,326.127,819.28,12.1825,6.33958,0.49667,"Elkmound loam, 20 to 45 percent slopes"
3562,304.389,820.64,12.2475,6.42042,0.59333,"Menahga loamy sand, 0 to 6 percent slopes"
3563,311.755,819.63,12.3117,6.50167,0.69167,"Menahga loamy sand, 0 to 6 percent slopes"
3564,355.793,818.34,11.9592,6.125,0.29083,"Arland fine sandy loam, 12 to 25 percent slopes"
3565,323.614,814.04,12.2167,6.40125,0.58583,"Arland fine sandy loam, 2 to 6 percent slopes"
3566,329.474,797.22,12.1258,6.28917,0.4525,"Chetek sandy loam, 0 to 2 percent slopes"
3567,347.825,797.43,11.92,6.02708,0.13417,"Rosholt loam, 2 to 6 percent slopes"
3568,342.484,812.19,11.9225,5.90583,-0.11083,"Fordum silt loam, 0 to 2 percent slopes"
3569,371.804,817.9,11.8317,5.73833,-0.355,"Brill silt loam, 0 to 3 percent slopes"
3570,392.333,821.73,11.6925,5.56208,-0.56833,"Rosholt sandy loam, 6 to 12 percent slopes"
3571,374.665,814.88,11.6725,5.51792,-0.63667,"Graycalm-Menahga complex, 12 to 30 percent slopes"
3572,336.329,808.86,11.6967,5.52667,-0.64333,"Seelyeville and Markey soils, 0 to 1 percent slopes"
3573,344.053,803.13,11.7633,5.54875,-0.66583,"Fremstadt, stony-Cress complex, 6 to 15 percent slopes"
3574,360.113,794.79,11.6792,5.4925,-0.69417,"Keweenaw-Pence complex, 15 to 45 percent slopes, stony"
3575,369.033,783.7,11.5325,5.3375,-0.8575,"Keweenaw-Sayner-Vilas complex, 15 to 45 percent slopes, stony"
3576,326.075,781.74,11.5925,5.33208,-0.92833,"Graycalm-Menahga complex, 0 to 6 percent slopes"
3577,325.363,789.37,11.5642,5.1825,-1.19917,"Graycalm-Menahga complex, 6 to 12 percent slopes"
3578,332.538,794.32,11.51,5.02417,-1.46167,"Menahga sand, 0 to 6 percent slopes"
3579,332.785,787.5,11.5058,5.01333,-1.47917,"Rubicon sand, 0 to 6 percent slopes"
3580,387.147,779.38,11.3083,4.93125,-1.44583,"Keweenaw, stony-Newood, stony-Cathro complex, 0 to 15 percent slopes"
3581,360.925,790.7,10.8733,4.74208,-1.38917,"Seelyeville, Cathro, and Markey soils, 0 to 1 percent slopes"
3582,344.239,798.39,10.4917,4.57167,-1.34833,"Winterfield-Totagatic complex, 0 to 2 percent slopes, frequently flooded"
3583,279.832,793.17,10.4125,4.65083,-1.11083,"Amnicon-Miskoaki complex, 2 to 6 percent slopes"
3584,210.6,769.16,9.5908,4.78,-0.03083,"Amnicon-Cuttre complex, 0 to 4 percent slopes"
3585,202.676,NA,NA,NA,NA,"Badriver complex, 0 to 8 percent slopes"
3586,368.458,773.82,9.2008,3.97833,-1.24417,"Hegberg-Eldes complex, 0 to 3 percent slopes"
3587,414.574,764.15,9.4558,3.75417,-1.9475,"Normanna-Canosia-Hermantown complex, 0 to 8 percent slopes"
3588,457.277,748.61,9.4883,3.56125,-2.36583,"Ahmeek-Normanna-Cathro, depressional, complex, pitted, 0 to 25 percent slopes"
3589,448.053,735.01,9.525,3.28667,-2.95167,"Bugcreek extremely stony sandy loam, 0 to 1 percent slopes, rubbly"
3590,471.78,722.32,9.4767,3.00333,-3.47,"Nevens stony loam, 0 to 2 percent slopes, very stony"
3591,491.545,719.84,9.4492,2.89833,-3.6525,"Tacoosh mucky peat, dense substratum, 0 to 1 percent slopes"
3592,484.306,719.84,9.4617,3.075,-3.31167,No Digital Data Available
3593,486.711,724.71,9.4467,3.10167,-3.24333,No Digital Data Available
3594,476.562,726.28,9.5033,3.08458,-3.33417,No Digital Data Available
3595,483.594,729.04,9.4517,3.11625,-3.21917,No Digital Data Available
3596,438.42,739.57,9.3942,3.05417,-3.28583,"Keenan-Vasso complex, 0 to 4 percent slopes"
3597,457.702,737.04,9.4217,3.1025,-3.21667,"Cloquet loam, 2 to 8 percent slopes"
3598,455.037,733.68,9.4342,3.13875,-3.15667,"Babbitt, bouldery-Wahlsten, bouldery-Aquepts, rubbly, complex, 0 to 8 percent slopes"
3599,414.847,728.02,9.5333,3.17333,-3.18667,Water
3600,446.747,724.4,9.5225,3.15167,-3.21917,No Digital Data Available
3601,443.483,713.04,9.5783,3.2125,-3.15333,No Digital Data Available
3602,414.05,709.16,9.6125,3.28125,-3.05,No Digital Data Available
3603,391.604,702.45,9.635,3.38208,-2.87083,No Digital Data Available
3604,447.58,697.83,9.6442,3.35625,-2.93167,No Digital Data Available
3605,403.557,693.32,9.555,3.24,-3.075,No Digital Data Available
3606,381.084,NA,NA,NA,NA,NA
3607,206,884.69,13.1317,7.89833,2.665,"Newalbin silt loam, depressional"
3608,306.76,885.57,12.9833,7.81958,2.65583,"Lamoille-Dorerton silt loams, 30 to 45 percent slopes"
3609,354.924,882.99,12.7308,7.54917,2.3675,"Seaton silt loam, 3 to 6 percent slopes"
3610,220.201,861.38,13.3108,7.98583,2.66083,"Festina silt loam, 0 to 2 percent slopes"
3611,291.174,873.55,13.1633,7.885,2.60667,"Lacrescent cobbly silty clay loam, 45 to 70 percent slopes"
3612,370.24,882.36,12.6225,7.49708,2.37167,"Nodine-Rollingstone silt loams, 4 to 12 percent slopes"
3613,194.699,855.02,13.6225,8.375,3.1275,Water
3614,224.969,854.07,13.535,8.015,2.495,"Dickinson fine sandy loam, 0 to 2 percent slopes"
3615,296.357,861.53,13.3183,7.76167,2.205,"Boone sand, 15 to 30 percent slopes"
3616,342.559,871.92,13.0308,7.48458,1.93833,"Gaphill-Rockbluff complex, 30 to 60 percent slopes"
3617,256.847,866.98,13.1908,7.44625,1.70167,"Bilson sandy loam, 1 to 6 percent slopes"
3618,271.949,862.84,13.1608,7.29208,1.42333,"Elevasil sandy loam, 12 to 20 percent slopes, moderately eroded"
3619,294.549,862.77,13.06,7.24333,1.42667,"Hixton silt loam, 12 to 20 percent slopes, moderately eroded"
3620,303.711,863.05,12.7767,6.93042,1.08417,"Norden silt loam, 20 to 30 percent slopes, moderately eroded"
3621,295.02,858.25,12.8358,7.00375,1.17167,"Seaton silt loam, 12 to 20 percent slopes, moderately eroded"
3622,309.136,848.2,12.5167,6.68958,0.8625,"Elkmound loam, 20 to 45 percent slopes"
3623,290.903,842.23,12.7125,6.8925,1.0725,"Plainfield loamy sand, 6 to 12 percent slopes, eroded"
3624,309.952,821.92,12.6325,6.8975,1.1625,"Northfield silt loam, 2 to 6 percent slopes"
3625,233.987,818.32,12.9458,7.20083,1.45583,Water
3626,281.215,819.97,12.8283,7.08708,1.34583,"Rosholt sandy loam, 6 to 12 percent slopes, eroded"
3627,299.897,823.05,12.415,6.6225,0.83,"Lows loam, 0 to 2 percent slopes"
3628,321.114,811.67,12.3525,6.51667,0.68083,"Arland sandy loam, 6 to 12 percent slopes, eroded"
3629,337.187,807.53,12.2333,6.37708,0.52083,"Hixton loam, 2 to 6 percent slopes"
3630,364.191,810.21,12.1608,6.295,0.42917,"Arland sandy loam, 6 to 12 percent slopes, eroded"
3631,332.333,815.27,12.255,6.41292,0.57083,"Menahga loamy sand, 6 to 12 percent slopes"
3632,329.202,815.38,12.1742,6.24,0.30583,"Menahga loamy sand, 2 to 6 percent slopes"
3633,370.134,816.73,12.0317,6.03583,0.04,"Arland silt loam, 6 to 12 percent slopes, eroded"
3634,359.548,820.91,11.785,5.66,-0.465,"Aftad fine sandy loam, 0 to 3 percent slopes"
3635,372.71,819.15,11.915,5.81875,-0.2775,"Anigon silt loam, 0 to 2 percent slopes"
3636,370.705,829.06,11.7242,5.56333,-0.5975,"Haugen-Greenwood complex, 0 to 15 percent slopes"
3637,423.758,836.31,11.5342,5.35,-0.83417,"Amery sandy loam, 12 to 25 percent slopes, very stony"
3638,390.038,849.95,11.4975,5.305,-0.8875,"Haugen, very stony-Greenwood complex, 0 to 15 percent slopes"
3639,381.672,830.25,11.6642,5.44583,-0.7725,"Glendenning, very stony-Glendenning complex, 0 to 4 percent slopes"
3640,343.62,822.41,11.8083,5.54417,-0.72,"Graycalm-Menahga complex, 0 to 6 percent slopes"
3641,343.136,808.63,11.7975,5.50875,-0.78,"Menahga sand, 0 to 6 percent slopes"
3642,362.508,796.73,11.6308,5.34042,-0.95,"Stanberry-Parkfalls-Wozny complex, 0 to 15 percent slopes, very stony"
3643,348.093,794.64,11.6108,5.26125,-1.08833,"Frogcreek-Magroc-Stinnett complex, 0 to 15 percent slopes, very stony, rocky"
3644,334.651,796.04,11.5625,5.16875,-1.225,"Menahga sand, 6 to 12 percent slopes"
3645,337.868,797.32,11.4717,5.05542,-1.36083,"Rubicon sand, 6 to 15 percent slopes"
3646,338.081,781.85,11.465,4.99917,-1.46667,"Rubicon sand, 0 to 6 percent slopes"
3647,328.119,780.05,11.4167,4.95833,-1.5,"Seelyeville and Markey soils, 0 to 1 percent slopes"
3648,347.206,793.36,11.1842,4.89583,-1.3925,"Keweenaw, stony-Rubicon complex, 15 to 30 percent slopes"
3649,353.762,803.63,10.7217,4.67417,-1.37333,"Keweenaw loamy sand, 6 to 15 percent slopes, stony"
3650,278.59,784.7,10.0133,4.69875,-0.61583,"Amnicon-Miskoaki complex, 2 to 6 percent slopes"
3651,219.647,771.67,9.62,4.72583,-0.16833,"Amnicon-Cuttre complex, 0 to 4 percent slopes"
3652,183.488,NA,NA,NA,NA,NA
3653,183.198,NA,NA,NA,NA,NA
3654,262.926,754.72,9.4017,4.38458,-0.6325,"Miskoaki-Udifluvents, flooded, complex, 1 to 45 percent slopes"
3655,384.051,803.78,9.4225,3.92542,-1.57167,"Ahmeek-Normanna-Canosia complex, 0 to 18 percent slopes"
3656,487.174,774.08,9.5167,3.5175,-2.48167,"Normanna-Canosia-Hermantown complex, 0 to 8 percent slopes"
3657,472.315,746.8,9.5242,3.31792,-2.88833,"Rifle soils, 0 to 1 percent slopes"
3658,451.098,718.84,9.505,3.01667,-3.47167,"Bowstring and Fluvaquents, loamy, 0 to 2 percent slopes, frequently flooded"
3659,484.992,722.07,9.45,3.02667,-3.39667,No Digital Data Available
3660,499.467,724.34,9.4217,3.02542,-3.37083,No Digital Data Available
3661,507.306,729.19,9.3775,3.12708,-3.12333,No Digital Data Available
3662,512.548,732.94,9.3792,3.18167,-3.01583,No Digital Data Available
3663,476.438,736.56,9.3767,3.21875,-2.93917,No Digital Data Available
3664,552.245,744.88,9.2925,3.50667,-2.27917,"Eaglesnest stony loam, 4 to 12 percent slopes, very bouldery"
3665,437.942,751.35,9.4383,3.14958,-3.13917,No Digital Data Available
3666,436.858,743.43,9.4442,3.23625,-2.97167,No Digital Data Available
3667,444.652,739.35,9.5483,3.26083,-3.02667,"Eveleth, bouldery-Conic, bouldery-Aquepts, rubbly, complex, 0 to 18 percent slopes"
3668,420.03,736.35,9.6458,3.30083,-3.04417,No Digital Data Available
3669,439.16,724.44,9.6075,3.25375,-3.1,No Digital Data Available
3670,439.449,713.36,9.5975,3.30792,-2.98167,No Digital Data Available
3671,403.571,706.57,9.6133,3.35042,-2.9125,No Digital Data Available
3672,376.541,701.04,9.585,3.27333,-3.03833,No Digital Data Available
3673,378.846,697.96,9.4767,3.2275,-3.02167,No Digital Data Available
3674,304.015,NA,NA,NA,NA,NA
3675,188.244,NA,NA,NA,NA,NA
3676,187.375,869.76,14.3458,8.75083,3.15583,Water
3677,187.658,862.82,14.3017,8.7775,3.25333,Water
3678,299.005,NA,NA,NA,NA,NA
3679,315.409,NA,NA,NA,NA,NA
3680,189.684,NA,NA,NA,NA,NA
3681,190.867,881.28,13.4758,8.28833,3.10083,"Algansee-Kalmarville complex, 0 to 3 percent slopes, frequently flooded"
3682,203.78,882.89,13.0683,7.935,2.80167,"Churchtown silt loam, 20 to 30 percent slopes, moderately eroded"
3683,191.72,873.22,13.795,8.56792,3.34083,Water
3684,191.907,866.58,13.8,8.52458,3.24917,Water
3685,193.525,863.67,13.8958,8.61708,3.33833,"Comfrey silty clay loam, channeled"
3686,192.316,872.29,13.8675,8.5525,3.2375,Water
3687,194.131,869.24,13.8008,8.51292,3.225,Water
3688,224.841,864.84,13.675,8.25375,2.8325,"Udorthents and Udipsamments, cut or fill"
3689,219.859,861.91,13.5067,8.00667,2.50667,"Rasset sandy loam, 0 to 3 percent slopes"
3690,232.948,865.29,13.1308,7.52583,1.92083,"Festina silt loam, 6 to 12 percent slopes, moderately eroded"
3691,235.817,865.39,13.3217,7.63958,1.9575,"Huntsville silt loam, 0 to 3 percent slopes, occasionally flooded"
3692,302.707,868.08,12.5758,6.85583,1.13583,"Urne fine sandy loam, 30 to 45 percent slopes"
3693,282.737,863.44,12.8442,6.80375,0.76333,"Seaton silt loam, 6 to 12 percent slopes, moderately eroded"
3694,293.975,861.37,12.7825,6.84542,0.90833,"Seaton silt loam, 20 to 30 percent slopes, moderately eroded"
3695,286.794,859.87,12.8383,6.965,1.09167,"Norden silt loam, 12 to 20 percent slopes, moderately eroded"
3696,306.44,853.96,12.7783,6.90542,1.0325,"Elevasil sandy loam, 6 to 12 percent slopes, moderately eroded"
3697,316.914,844.7,12.3842,6.56583,0.7475,"Seaton silt loam, 6 to 12 percent slopes, eroded"
3698,318.738,838.88,12.4917,6.68583,0.88,"Seaton silt loam, 20 to 30 percent slopes, eroded"
3699,266.863,825.68,12.6333,6.89542,1.1575,"Alluvial land, wet"
3700,275.136,821.73,12.7433,6.97875,1.21417,"Menahga sand, 1 to 6 percent slopes"
3701,276.657,825.82,12.8442,7.08333,1.3225,"Burkhardt sandy loam, 0 to 3 percent slopes"
3702,297.583,826.81,12.54,6.75292,0.96583,"Seaton silt loam, 6 to 12 percent slopes, eroded"
3703,335.029,809.99,12.4433,6.60875,0.77417,"Seaton silt loam, 6 to 12 percent slopes, eroded"
3704,310.14,805.17,12.3717,6.52292,0.67417,"Sattre loam, 0 to 3 percent slopes"
3705,343.534,806.86,12.25,6.38208,0.51417,"Amery sandy loam, 12 to 25 percent slopes"
3706,332.613,811.71,12.2825,6.33792,0.39333,"Amery sandy loam, 12 to 25 percent slopes"
3707,372.774,820.88,12.1408,6.0825,0.02417,"Newood, very stony-Pesabic, very stony-Cathro complex, 0 to 15 percent slopes"
3708,386.538,831.03,11.9058,5.71792,-0.47,"Newood, very stony-Pesabic, very stony-Cathro complex, 0 to 15 percent slopes"
3709,468.423,836.55,11.615,5.37792,-0.85917,"Newot, very stony-Newood, very stony-Cathro complex, 0 to 35 percent slopes"
3710,442.56,838.25,11.1858,4.97458,-1.23667,"Freeon silt loam, bedrock-controlled ground moraine, 2 to 6 percent slopes, very stony"
3711,401.427,837.7,11.7267,5.54958,-0.6275,"Newot, very stony-Newood, very stony-Cathro complex, 0 to 35 percent slopes"
3712,413.626,848.05,11.6767,5.48833,-0.7,"Antigo silt loam, 6 to 15 percent slopes"
3713,441.828,885.05,11.2692,5.05958,-1.15,"Chetek sandy loam, 6 to 12 percent slopes"
3714,401.622,886.98,11.4617,5.19875,-1.06417,"Haplosaprists and Psammaquents, 0 to 2 percent slopes"
3715,395.945,828.36,11.755,5.42667,-0.90167,"Graycalm-Menahga complex, 12 to 30 percent slopes"
3716,366.682,813.39,11.7958,5.42875,-0.93833,"Sayner loamy sand, 15 to 45 percent slopes"
3717,359.023,805.08,11.6925,5.3175,-1.0575,"Keweenaw-Sayner-Vilas complex, 15 to 45 percent slopes, stony"
3718,370.029,807.44,11.52,5.17917,-1.16167,"Lupton, Cathro, and Tawas soils, 0 to 1 percent slopes"
3719,348.717,802.69,11.5408,5.18042,-1.18,"Frogcreek-Stinnett-Wozny complex, 0 to 15 percent slopes, very stony"
3720,347.965,800.16,11.4783,5.09917,-1.28,"Rubicon sand, 0 to 6 percent slopes"
3721,354.357,798.26,11.3817,5.01417,-1.35333,"Keweenaw, stony-Rubicon complex, 0 to 6 percent slopes"
3722,365.687,804.06,11.305,4.99042,-1.32417,"Rubicon sand, 0 to 6 percent slopes"
3723,368.779,802.65,11.1908,4.93667,-1.3175,"Sultz sand, 6 to 15 percent slopes"
3724,331.556,808,10.7967,4.69958,-1.3975,"Seelyeville and Markey soils, 0 to 1 percent slopes"
3725,325.242,797.58,10.0392,4.55958,-0.92,"Kellogg-Allendale-Ashwabay complex, 6 to 15 percent slopes"
3726,238.629,782.1,9.5967,4.55458,-0.4875,"Amnicon-Cuttre complex, 0 to 4 percent slopes"
